Model,Hyperparameters,PR-AUC,F1,Accuracy
Naive Bayes,GaussianNB (default),0.8445592692147357,0.7983944535668673,0.8032407407407407
kNN,k=3,0.7933147075064011,0.7967160449759058,0.7971866096866097
kNN,k=11,0.87397939380496,0.8247277836318933,0.8222934472934473
kNN,k=51,0.9003893264633644,0.8289382373351839,0.8244301994301995
