k,inertia,silhouette
2,600747.9950874742,0.08668768245358403
3,569975.8126645437,0.07291805775978055
4,547435.6793489584,0.07714864197173416
5,527040.5018166677,0.08767634352004695
6,506282.34025725827,0.10438434621093473
7,485124.7813532237,0.11571630961743248
